Outlet_Name,Outlet_Type,lon,lat,Full_Address2,Opening_hours,loctype,SA2_NAME16
Coles Beenleigh,Hypermarket,153.2030064,-27.7186196,"Beenleigh Mall, Main St &, Bellew St, Beenleigh, 4207, Queensland, Australia",Mon - Sun 7am-9pm,rooftop,Beenleigh
Woolworths Beenleigh,Hypermarket,153.2072826,-27.7175695,"114-118 George St, Beenleigh, 4207, Queensland, Australia","Mon - Sat 7am - 9pm, Sun 9am - 6pm ",rooftop,Beenleigh
ALDI Beenleigh,Supermarket ,153.2031158,-27.7069351,"90 City Rd, 1 Fletcher Rd, Beenleigh, Bethania, 4207, 4205, 90 City Rd, 1 Fletcher Rd, Beenleigh, Bethania, 4207, 4205, Queensland, Australia","Mon - Sat 8:30 am - 8pm, Sat 8am - 7pm, Sun 9am - 6pm",range_interpolated,Beenleigh
Asian Grocery,Grocery Store,153.2032917,-27.71515,"2/71 Alamein St, Beenleigh, 4207, Queensland, Australia",Mon - Sun 9 am - 5:30pm ,rooftop,Beenleigh
Kastury's Indian Cuisine ,Restaurant_Takeaway,153.200399,-27.717031,"2/1 James St, Beenleigh, 4207, Queensland, Australia","Mon - Sun 7am-9pm, varies on weekends",rooftop,Beenleigh
Beenleigh Tavern ,Restaurant_Takeaway,153.2191421,-27.722682,"114 Distillery Rd , Beenleigh, 4207, Queensland, Australia","Mon - Sun 10am - 3:30 am, varies on weekends",rooftop,Eagleby
Serranos Mexican Cantina,Restaurant_Takeaway,153.1998448,-27.7160146,"62 George St, Beenleigh, 4207, Queensland, Australia",Fri - Sun 5pm - 8:30pm,rooftop,Beenleigh
Bull 'N' Barra Restaurant,Restaurant_Takeaway,153.2055339,-27.7117972,"28 Alamein St, Beenleigh, 4207, Queensland, Australia","Mon - Sun 11:30am–2:30pm, 5:30–8:30pm",rooftop,Beenleigh
Bobby's Indian Cuisine,Takeaway,153.0225482,-27.6785765,"5/86 City Rd, 8/85 Coronation Rd, Beenleigh, Boronia Heights, 4207, 4124, 5/86 City Rd, 8/85 Coronation Rd, Beenleigh, Boronia Heights, 4207, 4124, Queensland, Australia","Mon - Fri 11:30am–1:30pm, 5–9pm, varies on weekends",rooftop,Hillcrest
Helen's Kitchen,Restaurant_Takeaway,153.2030243,-27.7171334,"Shop 3/19-21 Main St, Beenleigh, 4207, Queensland, Australia",Mon - Sat 10:30am - 8pm,rooftop,Beenleigh
